Epoch 001 | lr=0.001000 | train_loss=0.3156 | val_loss=0.2163 | val_corner_err=1.0828
Epoch 002 | lr=0.001000 | train_loss=0.3098 | val_loss=0.2132 | val_corner_err=1.0763
Epoch 003 | lr=0.001000 | train_loss=0.3032 | val_loss=0.2093 | val_corner_err=1.0658
Epoch 004 | lr=0.001000 | train_loss=0.3071 | val_loss=0.2079 | val_corner_err=1.0624
Epoch 005 | lr=0.001000 | train_loss=0.3018 | val_loss=0.2060 | val_corner_err=1.0547
Epoch 006 | lr=0.001000 | train_loss=0.3020 | val_loss=0.2044 | val_corner_err=1.0481
Epoch 007 | lr=0.001000 | train_loss=0.3021 | val_loss=0.2034 | val_corner_err=1.0441
Epoch 008 | lr=0.001000 | train_loss=0.2989 | val_loss=0.2028 | val_corner_err=1.0423
Epoch 009 | lr=0.001000 | train_loss=0.3000 | val_loss=0.2016 | val_corner_err=1.0363
Epoch 010 | lr=0.001000 | train_loss=0.2977 | val_loss=0.1993 | val_corner_err=1.0282
Epoch 011 | lr=0.001000 | train_loss=0.2987 | val_loss=0.2001 | val_corner_err=1.0277
Epoch 012 | lr=0.001000 | train_loss=0.2987 | val_loss=0.1990 | val_corner_err=1.0300
Epoch 013 | lr=0.001000 | train_loss=0.2943 | val_loss=0.1965 | val_corner_err=1.0148
Epoch 014 | lr=0.001000 | train_loss=0.2915 | val_loss=0.1948 | val_corner_err=1.0115
Epoch 015 | lr=0.001000 | train_loss=0.2917 | val_loss=0.1969 | val_corner_err=1.0231
Epoch 016 | lr=0.001000 | train_loss=0.2934 | val_loss=0.1936 | val_corner_err=1.0106
Epoch 017 | lr=0.001000 | train_loss=0.2892 | val_loss=0.1931 | val_corner_err=1.0058
Epoch 018 | lr=0.001000 | train_loss=0.2904 | val_loss=0.1938 | val_corner_err=1.0073
Epoch 019 | lr=0.001000 | train_loss=0.2896 | val_loss=0.1935 | val_corner_err=1.0066
Epoch 020 | lr=0.001000 | train_loss=0.2879 | val_loss=0.1912 | val_corner_err=0.9950
Epoch 021 | lr=0.001000 | train_loss=0.2873 | val_loss=0.1900 | val_corner_err=0.9913
Epoch 022 | lr=0.001000 | train_loss=0.2889 | val_loss=0.1871 | val_corner_err=0.9807
Epoch 023 | lr=0.001000 | train_loss=0.2812 | val_loss=0.1915 | val_corner_err=0.9963
Epoch 024 | lr=0.001000 | train_loss=0.2845 | val_loss=0.1930 | val_corner_err=1.0013
Epoch 025 | lr=0.001000 | train_loss=0.2821 | val_loss=0.1888 | val_corner_err=0.9913
Epoch 026 | lr=0.001000 | train_loss=0.2805 | val_loss=0.1868 | val_corner_err=0.9756
Epoch 027 | lr=0.001000 | train_loss=0.2789 | val_loss=0.1904 | val_corner_err=0.9909
Epoch 028 | lr=0.001000 | train_loss=0.2795 | val_loss=0.1872 | val_corner_err=0.9765
Epoch 029 | lr=0.001000 | train_loss=0.2811 | val_loss=0.1870 | val_corner_err=0.9790
Epoch 030 | lr=0.001000 | train_loss=0.2762 | val_loss=0.1860 | val_corner_err=0.9787
Epoch 031 | lr=0.001000 | train_loss=0.2816 | val_loss=0.1868 | val_corner_err=0.9773
Epoch 032 | lr=0.001000 | train_loss=0.2743 | val_loss=0.1862 | val_corner_err=0.9816
Epoch 033 | lr=0.001000 | train_loss=0.2741 | val_loss=0.1853 | val_corner_err=0.9740
Epoch 034 | lr=0.001000 | train_loss=0.2753 | val_loss=0.1841 | val_corner_err=0.9667
Epoch 035 | lr=0.001000 | train_loss=0.2713 | val_loss=0.1856 | val_corner_err=0.9680
Epoch 036 | lr=0.001000 | train_loss=0.2726 | val_loss=0.1846 | val_corner_err=0.9723
Epoch 037 | lr=0.001000 | train_loss=0.2718 | val_loss=0.1868 | val_corner_err=0.9779
Epoch 038 | lr=0.001000 | train_loss=0.2707 | val_loss=0.1853 | val_corner_err=0.9663
